[2019-06-26 18:01:30.814] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 18:01:30.829] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 18:01:30.829] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 18:01:30.903] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 18:01:30.904] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 786 ms
[2019-06-26 18:01:31.356] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 18:01:31.562] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
[2019-06-26 18:01:31.564] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.74 seconds (JVM running for 2.812)
[2019-06-26 18:01:36.694] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-06-26 18:01:36.694] INFO  org.springframework.web.servlet.FrameworkServlet 524 initServletBean - Initializing Servlet 'dispatcherServlet'
[2019-06-26 18:01:36.698] INFO  org.springframework.web.servlet.FrameworkServlet 546 initServletBean - Completed initialization in 4 ms
[2019-06-26 18:01:37.211] INFO  com.alibaba.druid.pool.DruidDataSource 1003 init - {dataSource-1} inited
[2019-06-26 18:18:17.422] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 10904 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 18:18:17.423] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 18:18:18.187] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 18:18:18.203] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 18:18:18.203] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 18:18:18.280] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 18:18:18.280] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 833 ms
[2019-06-26 18:18:18.744] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 18:18:18.976] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
[2019-06-26 18:18:18.978] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.831 seconds (JVM running for 3.009)
